Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
C21_UK	C21_UK-ERR3611144	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR3611144_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR3611144_2.fastq.gz	NA
C48_UK	C48_UK-ERR3611145	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR3611145_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR3611145_2.fastq.gz	NA
R5046_UK	R5046_UK-ERR3611146	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR3611146_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR3611146_2.fastq.gz	NA
G34_Denmark	G34_Denmark-ERR1883928	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883928_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883928_2.fastq.gz	NA
G34_Denmark	G34_Denmark-ERR1883929	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883929_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883929_2.fastq.gz	NA
G34_Denmark	G34_Denmark-ERR1883976	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883976_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883976_2.fastq.gz	NA
G34_Denmark	G34_Denmark-ERR1883977	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883977_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883977_2.fastq.gz	NA
G34_Denmark	G34_Denmark-ERR1884147	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884147_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884147_2.fastq.gz	NA
G34_Denmark	G34_Denmark-ERR1884148	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884148_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884148_2.fastq.gz	NA
G154_Denmark	G154_Denmark-ERR1883912	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883912_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883912_2.fastq.gz	NA
G154_Denmark	G154_Denmark-ERR1884135	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884135_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884135_2.fastq.gz	NA
